coin,symbol,price,change_1h,change_24h,change_7d,volume_24h,market_cap,date,price_normalized,volume_24h_normalized,market_cap_normalized
Bitkub Coin,KUB,7.89,0.004,0.0,-0.034,2193655.0,698922310.0,2022-03-16,0.00019142461396682225,3.7864092014694355e-05,0.0008159051056831424
Neutrino USD,USDN,1.0,0.003,-0.001,0.0069999999999999,15319422.0,687954763.0,2022-03-16,2.4261674742554178e-05,0.00026442444423573124,0.0008017718812243925
yearn.finance,YFI,18982.86,0.017,0.017,-0.0139999999999999,81875140.0,678377900.0,2022-03-16,0.46055597568687107,0.001413224884804576,0.0007894307483904327
Nexus Mutual,NXM,92.51,0.026,0.035,0.065,1909.73,633750394.0,2022-03-16,0.002244447533728443,3.296333855744055e-08,0.0007319219399638802
XDC Network,XDC,0.050635431946,-0.002,-0.022,0.0969999999999999,9930593.0,616292915.0,2022-03-16,1.2285003461413585e-06,0.00017140930871649356,0.0007094255267558116
1inch,1INCH,1.5,0.021,0.111,0.163,120457113.0,616145134.0,2022-03-16,3.639251213183343e-05,0.002079177997659812,0.0007092350901847408
WAX,WAXP,0.274089,0.021,0.02,0.0,26837225.0,615219740.0,2022-03-16,6.649858142375997e-06,0.00046323016008399486,0.0007080425900646336
Smooth Love Potion,SLP,0.016547553043,0.019,0.018,-0.076,99341158.0,614525601.0,2022-03-16,4.0147131430588674e-07,0.0017147011482472358,0.0007071480944866733
Qtum,QTUM,5.95,0.0289999999999999,0.023,0.036,79032386.0,612948390.0,2022-03-16,0.00014435696489641879,0.0013641568686255778,0.0007051156366287941
PAX Gold,PAXG,1935.78,0.0069999999999999,0.005,-0.057,30748651.0,611668819.0,2022-03-16,0.04696526480280197,0.0005307442377182025,0.0007034667297078658
Sushi,SUSHI,3.12,0.036,0.069,0.0819999999999999,132202954.0,603245561.0,2022-03-16,7.56964252730982e-05,0.0022819198164116075,0.0006926121789146974
renBTC,RENBTC,40555.22,0.016,0.034,0.048,14829115.0,602582895.0,2022-03-16,0.9839375582128554,0.0002559613862966074,0.0006917582407169234
Livepeer,LPT,23.82,0.03,0.023,0.024,11291907.0,589774119.0,2022-03-16,0.0005779130931892593,0.00019490658543361254,0.0006752523341318092
Ankr,ANKR,0.072181812557,0.023,0.016,-0.064,40789205.0,587511707.0,2022-03-16,1.751251625180479e-06,0.0007040515538342314,0.0006723368985641139
Bancor Network Token,BNT,2.29,0.017,0.033,0.062,26117403.0,583581643.0,2022-03-16,5.5559235206894645e-05,0.0004508055051395294,0.0006672724592096026
Pocket Network,POKT,0.699085,0.019,-0.003,-0.055,974551.0,580439408.0,2022-03-16,1.6960972876564245e-05,1.6821464057480506e-05,0.0006632232481547386
Marinade staked SOL,MSOL,88.63,0.025,0.0139999999999999,0.043,18662090.0,578275391.0,2022-03-16,0.002150312235587636,0.0003221213422103783,0.0006604346083619435
