coin,symbol,price,change_1h,change_24h,change_7d,volume_24h,market_cap,date,price_normalized,volume_24h_normalized,market_cap_normalized,liquidity_ratio,volatility_score,avg_abs_change,turnover_rate,market_dominance,momentum_short,momentum_medium,momentum_long,momentum_consistency,liquidity_class
Waves,WAVES,28.62,0.0139999999999999,0.081,0.273,1508088374.0,2862185867.0,2022-03-16,0.0006943691321263,0.0260307099153817,0.0036035739813683,0.5269009226087412,0.13443337879162803,0.12266666666666665,0.026030709915381766,0.07621714722728173,0.0139999999999999,0.081,0.273,1,High
Theta Network,THETA,2.82,0.032,0.033,-0.004,118835496.0,2798708447.0,2022-03-16,6.841792283953066e-05,0.002051187700507,0.0035217744116995,0.04246083443503467,0.02107921567168317,0.023000000000000003,0.002051187700507073,0.07452680701509314,0.032,0.033,-0.004,0,Medium
Magic Internet Money,MIM,0.997676,0.0,0.004,0.002,44641451.0,2784271477.0,2022-03-16,2.4205290610368807e-05,0.0007705441413228,0.0035031703485016,0.01603344047761475,0.002,0.002,0.0007705441413228011,0.07414236494209836,0.0,0.004,0.002,0,Medium
The Graph,GRT,0.440816,0.003,0.0409999999999999,0.315,388652958.0,2731591470.0,2022-03-16,1.069493439318072e-05,0.0067084347189941,0.003435284761741,0.14228077743997347,0.17022729902496056,0.11966666666666663,0.006708434718994163,0.07273954903983772,0.003,0.0409999999999999,0.315,1,High
Tezos,XTZ,3.05,0.021,0.025,0.013,114838106.0,2665887669.0,2022-03-16,7.399810803859911e-05,0.0019821898212696,0.0033506161875077,0.04307687354399178,0.006110100926607788,0.019666666666666666,0.001982189821269627,0.07098992252817518,0.021,0.025,0.013,1,Medium
cUSDC,CUSDC,0.022533007284,-0.001,0.001,0.001,41.83,2449140377.0,2022-03-16,5.466884585029725e-07,7.220164378512868e-10,0.0030713068644055,1.707946199933153e-08,0.0011547005383792516,0.001,7.220164378512869e-10,0.06521815890655061,-0.001,0.001,0.001,0,Low
Helium,HNT,21.72,-0.002,0.048,0.026,22415718.0,2183873719.0,2022-03-16,0.0005269635761542,0.0003869117107874,0.0027294735247411,0.010264200628900924,0.025059928172283336,0.025333333333333333,0.0003869117107874486,0.058154373091527226,-0.002,0.048,0.026,0,Medium
THORChain,RUNE,7.23,0.04,-0.059,0.769,297836092.0,2165143023.0,2022-03-16,0.0001754119086129,0.0051408690941761,0.0027053363926333,0.13755954633764625,0.4521846967777658,0.28933333333333333,0.005140869094176145,0.057655593389216074,0.04,-0.059,0.769,0,High
EOS,EOS,2.06,0.019,0.032,0.048,337828464.0,2019196307.0,2022-03-16,4.997905000782619e-05,0.0058311667268001,0.0025172635540811,0.16730838048229454,0.014525839046333951,0.033,0.005831166726800185,0.05376917830032824,0.019,0.032,0.048,1,High
ECOMI,OMI,0.003406821495,0.019,0.027,-0.2189999999999999,3444049.0,1976983567.0,2022-03-16,8.265515913596712e-08,5.94468082898706e-05,0.002462866510746,0.0017420726492057888,0.1397760112942608,0.0883333333333333,5.9446808289870595e-05,0.05264509525018755,0.019,0.027,-0.2189999999999999,0,Low
IOTA,MIOTA,0.712336,0.018,0.011,0.012,26950213.0,1976598984.0,2022-03-16,1.7282464329054923e-05,0.0004651804157206,0.0024623709215443,0.013634638699176829,0.003785938897200182,0.013666666666666666,0.00046518041572061786,0.052634854189510784,0.018,0.011,0.012,1,Medium
